,0,1,2
0,0.48229712099996064,0.3543269821820596,0.31345357645615424
1,0.4845092125752015,0.35455936778496583,0.3108841990795909
2,0.4761015619285152,0.357860539776155,0.31328012292857166
3,0.45364878125511426,0.351176382761486,0.31440622848652683
4,0.48294141905625937,0.34920349229720393,0.31596023520555294
5,0.47540317523416614,0.367214114598835,0.31231881863683764
6,0.472275565285234,0.3503813688995955,0.3231170950807204
7,0.4723060534300697,0.35085299258491537,0.3143867966947704
8,0.45359574956015686,0.35431894710131756,0.3186328260411107
9,0.46876353321730396,0.35405902689060276,0.3156915373691219
10,0.4778608235032373,0.3634484186212405,0.31251934480115534
11,0.4823483850002164,0.35587443579221995,0.32004265852948804
12,0.45987449112887296,0.35526051716068213,0.31675937465629367
13,0.4736654628082825,0.3606583126179246,0.3093430274113503
14,0.47541532034572626,0.3532739913853023,0.3157062380361685
15,0.4716972561590942,0.36728499757305966,0.31345454269695455
16,0.4699003605526928,0.3537112541969053,0.3184271583027965
17,0.45931869445156037,0.3518785206201418,0.3178288950344187
18,0.46132300728668035,0.3499014086843188,0.3095441475317707
19,0.4876047648180725,0.357485444924195,0.32385445112047484
