parameter,rhat_new_1,ess_basic_new_1,rhat_new_2,ess_basic_new_2,rhat_new_3,ess_basic_new_3,rhat_new_4,ess_basic_new_4,rhat_new_5,ess_basic_new_5,rhat_new_6,ess_basic_new_6,rhat_new_7,ess_basic_new_7,rhat_new_8,ess_basic_new_8,rhat_new_9,ess_basic_new_9,rhat_new_10,ess_basic_new_10,rhat_new_11,ess_basic_new_11,rhat_new_12,ess_basic_new_12,rhat_new_13,ess_basic_new_13,rhat_new_14,ess_basic_new_14,rhat_new_15,ess_basic_new_15,rhat_new_16,ess_basic_new_16,rhat_new_17,ess_basic_new_17,rhat_new_18,ess_basic_new_18,rhat_new_19,ess_basic_new_19,rhat_new_20,ess_basic_new_20
gamma,1.00184561536446,2908.33045945662,1.04282179305066,660.08627722261,1.0901569188657,414.647158267306,1.01903579703022,789.374076884928,,,1.00366624413504,967.940716496758,1.26888619265325,214.833397182598,,,1.02450664847674,1034.9382812587,1.06176309268726,482.415857396924,1.05413612605836,513.658335260953,,,1.00864703741232,1737.66013302898,1.03979159002067,581.346446986611,1.00224756717081,3044.80945594939,1.01007388920664,2092.19769390085,1.11229959142945,385.161622495557,1.07740926175833,371.836193512781,1.1253213935792,323.767101520506,1.00856458944476,1000.15516328671
kappa,1.00259344282652,3004.93989839606,1.00801232208031,1395.89579666153,1.07506503497752,498.978413504219,1.01864769254611,843.004972158055,,,1.00225879811754,2134.19906420813,1.21304018885942,249.833843167693,,,1.01973090565108,1213.25740295876,1.00885492705036,1727.38322510721,1.01121191478156,1372.87560864183,,,1.009512451386,1764.23943257943,1.00486057134131,1406.12367891266,1.00147788943699,3274.73368540304,1.00889947438583,2129.01749824137,1.01391269747076,1357.0688417498,1.06227016033937,428.358794648808,1.10820578609429,365.679857517421,1.00517266524113,1794.6846845395
beta,1.00221501419188,2949.52940441361,1.04294585220012,680.716305384222,1.09006563922631,401.349239480334,1.019272963938,765.522962420208,,,1.00504660655477,869.882903345418,1.2680879498075,181.818235063733,,,1.0244668043494,994.504177437521,1.05918328311635,495.96009293424,1.05394697917228,488.510988643681,,,1.00873172481283,1721.25219016493,1.03358077575021,584.5100548408,1.00253038219133,3089.49020088733,1.00895255083253,2070.70290762927,1.11408490609999,365.77655325989,1.07698066652096,399.093865806429,1.12463571068908,322.265540217134,1.00975701409768,1098.82767971461
tevent,1.00172642587196,3050.75472305035,1.00751156553009,1544.20231393005,1.02206633176292,1089.81061100589,1.00298588953977,2166.44735401502,,,1.00771290658366,958.71051095934,1.02280376824371,1137.32235312376,,,1.00533479067415,2822.54442015377,1.00365187772913,1583.17941257603,1.00432945173686,2116.04333471435,,,1.00873326619681,2198.0781604936,1.0071052132968,1226.60285344877,1.00216016827485,2723.83750162267,1.00503271283399,2892.33021802789,1.00902834946731,1959.63850026273,1.00718544825694,1713.70248047782,1.00926484996547,1399.60420518268,1.0066536879263,1946.68657956516
scaling,1.00207592829265,2945.2811412573,1.03878340077589,703.451120364839,1.08076299713117,446.846874351552,1.01730200553038,773.259304938213,,,1.0048066979378,1055.1255678416,1.24232955843522,194.745694673705,,,1.02137454217693,1082.56020463411,1.06303665146998,488.424892028362,1.05169302948655,533.290793513636,,,1.00855630162989,1709.49462302126,1.02208386022679,729.498033794589,1.00291370280815,3038.68069830266,1.01056728473889,1952.37115366983,1.0478396950448,666.417049525643,1.07653948605467,405.78675543208,1.12006742809173,331.795603760623,1.00772463273504,1073.94572949131
I0,1.00247022255386,2905.88808472948,1.01678946520267,1068.03998774707,1.01458925052421,1341.07546767581,1.00673711175503,1933.77865174089,,,1.00485725148752,1190.57779646542,1.01958125093331,1195.09714549245,,,1.00253714129088,2566.22759834245,1.00773677154079,1670.80308069377,1.01995103182686,931.429173839895,,,1.00355614188078,2796.71387080189,1.00963492901209,1063.84952353261,1.00207237827448,3166.39834258474,1.00571042502595,2572.23163101994,1.03350065415711,882.978813326765,1.00568148604265,1710.30605934045,1.00454051860696,1879.71062841263,1.00223335045279,2303.01155906586
