parameter,rhat_new_1,ess_basic_new_1,rhat_new_2,ess_basic_new_2,rhat_new_3,ess_basic_new_3,rhat_new_4,ess_basic_new_4,rhat_new_5,ess_basic_new_5,rhat_new_6,ess_basic_new_6,rhat_new_7,ess_basic_new_7,rhat_new_8,ess_basic_new_8,rhat_new_9,ess_basic_new_9,rhat_new_10,ess_basic_new_10
gamma,1.00439887103206,2311.41032122467,,,1.00712274526474,1548.46607875562,1.00134985213272,3040.30055385897,,,1.1849662470885,288.086672580302,1.00812200311969,1777.88739569905,1.01568375556877,1140.32455433782,1.01842259540369,1032.6805447752,1.05146039040531,442.799117001093
kappa,1.00335164177758,2677.64307953394,,,1.00739575459726,1579.16394618548,1.00131673304827,2888.96843044786,,,1.0603869713538,633.935895726924,1.00690333175842,1590.26482696014,1.01397361228326,1729.69738804805,1.01782404488173,1020.87737211865,1.00645941891022,1415.02985479701
beta,1.00423146749462,2238.25183005856,,,1.00735777777052,1494.03492131896,1.00149896422581,2968.37944246353,,,1.18556323277555,283.23297453459,1.00817136637073,1786.46717004148,1.01616028538757,1196.47942872801,1.01871398000605,1011.32368070131,1.05031745741969,418.155489507128
tevent,1.0017136620674,3194.96921194144,,,1.00287448734868,2698.98559317357,1.00203698194209,3225.80697741424,,,1.0086580426615,2000.64833808216,1.003400352239,2161.97835837194,1.00492500018147,1761.37308320702,1.00242158573723,2564.55918982759,1.00547477161625,1587.03139322221
scaling,1.00400861539716,2227.80994814234,,,1.0070803373998,1491.77337221602,1.00092862762401,3036.9753969724,,,1.07111621735276,524.844304330206,1.00786848665403,1777.45423281057,1.01614588338811,1260.42366827075,1.01382085981248,1120.11785045042,1.04318208059023,487.542982768026
I0,1.00388707719966,3110.61967390704,,,1.00458843478824,2661.4360579578,1.00253414185108,2946.21072603455,,,1.01911872090425,1293.46219244218,1.00478863508302,2536.12374070618,1.00129918932718,2053.04077702366,1.00510924580584,2106.05452232312,1.01453022144114,981.375224224939
