parameter,rhat,gelman,ess_basic
gamma,1.0828068563779814,1.0850056323075934,399.9694052804902
kappa,1.0516877643357976,1.050808329403524,566.2380194759753
beta,1.0838341030228194,1.1068681985700948,375.91181361236374
tevent,1.0062757378965381,1.011824611146486,1292.8133289045086
scaling,1.0649048758359658,1.077225342556026,448.70541571976366
I0,1.0043104542771597,1.0039395381629743,1732.1161189837642
