parameter,rhat_new_1,ess_basic_new_1,rhat_new_2,ess_basic_new_2,rhat_new_3,ess_basic_new_3,rhat_new_4,ess_basic_new_4,rhat_new_5,ess_basic_new_5,rhat_new_6,ess_basic_new_6,rhat_new_7,ess_basic_new_7,rhat_new_8,ess_basic_new_8,rhat_new_9,ess_basic_new_9,rhat_new_10,ess_basic_new_10,rhat_new_11,ess_basic_new_11,rhat_new_12,ess_basic_new_12,rhat_new_13,ess_basic_new_13,rhat_new_14,ess_basic_new_14,rhat_new_15,ess_basic_new_15,rhat_new_16,ess_basic_new_16,rhat_new_17,ess_basic_new_17,rhat_new_18,ess_basic_new_18,rhat_new_19,ess_basic_new_19,rhat_new_20,ess_basic_new_20
gamma,1.00526751649841,1823.74031024811,1.04737104436432,578.266768440416,1.16100726979012,314.589095630272,1.00531056576345,1346.64273061541,,,1.02638287874147,702.899780640857,1.03832153077418,576.455883637884,,,1.00803133656435,1217.88425895906,1.00526769512255,1461.41684059399,1.06842966460991,550.806040932964,,,1.00305000589199,1788.5060892147,1.03972929491809,594.245915353359,1.00398909843517,2545.37245107903,1.01509283137859,1183.73982220328,1.09639183532939,367.750651563854,1.12520684434301,307.604743701908,1.08280685637798,399.96940528049,1.02365622854367,1086.25214858625
kappa,1.0036259700496,2282.34174233486,1.00227435209882,1576.9315185013,1.05069657591595,672.162095788298,1.00619851382256,1628.18523787958,,,1.00300574535646,1822.54236613594,1.01510259653548,1317.84397853541,,,1.00474597574769,1722.34209338503,1.01346105458945,1360.90508914747,1.00653987804398,1523.83660620283,,,1.00355856313655,1870.3954586006,1.006364343505,1536.19205419582,1.00305847358798,2363.79358967273,1.01118127897498,1344.55508107112,1.00756333701152,1343.49081285382,1.09424326870041,356.925093414631,1.0516877643358,566.238019475975,1.00528579578758,1685.45190325171
beta,1.00517980310393,1997.55010046839,1.04635601673622,564.688179784669,1.16280278124979,315.245087947311,1.0054063189034,1306.07998203645,,,1.02584705395953,703.335028757793,1.03809137368661,552.568635235899,,,1.00692361302383,1169.75190968425,1.00966196765205,1285.33312350154,1.06690679692287,560.698496521419,,,1.00344353878223,1716.95654063798,1.04258777225946,523.439993583673,1.00261058949535,2274.46417730818,1.01500489703321,1100.90856159032,1.09548524131216,382.592742196225,1.1251591281946,299.417599820791,1.08383410302282,375.911813612364,1.02480782191429,1059.52165102604
tevent,1.0031669268592,2619.77577311084,1.00604367996534,1850.82779825489,1.02241889843087,1127.10244077659,1.00226656049889,2980.58335000162,,,1.00498055782675,1747.82296225509,1.00467531568371,1253.40375127036,,,1.00253085632121,1811.96249834201,1.00324308972866,1630.78902890469,1.01071045515114,1705.97308779295,,,1.00523775837958,2227.39209153914,1.00664371423362,1283.21614013882,1.00194322853628,2702.06759008105,1.00329680515274,2648.07732665752,1.005072184204,1581.73980100814,1.01231914030954,1334.86324941797,1.00627573789654,1292.81332890451,1.00272369678432,2231.77115121022
scaling,1.00449227536301,1972.00440054775,1.03505154391016,831.366035687832,1.09482718307551,471.855741272244,1.0054586719162,1634.90040350601,,,1.01231679874088,1223.98198765314,1.02396440497822,729.276346867318,,,1.00654646889121,1434.32993315178,1.00394667089252,1450.66034134081,1.05250973622103,618.76807955857,,,1.00334842150908,1761.49251940002,1.01087474007016,1050.16972731809,1.00294640242824,2709.19056920924,1.01315728536712,1369.71032917337,1.01657072009714,1094.47590040751,1.11328553196086,318.0451008717,1.06490487583597,448.705415719764,1.01996667589872,1162.22443984479
I0,1.00374873982053,2747.93697553324,1.00906615683487,1461.7746804097,1.01147068697605,1421.92398272568,1.00367050172286,3049.35320619103,,,1.00481283025503,1677.93292900773,1.00450781999339,1486.80650998535,,,1.00247310345657,2402.15772300378,1.00692900019951,1536.31624081667,1.02184701047293,919.174806715255,,,1.0024319231937,2616.11199560522,1.00925161861833,1622.4829190763,1.00367211601494,2675.52575113876,1.00275976717163,2659.3799999301,1.00937795903861,1538.55880960539,1.0121085294672,1292.60387232233,1.00431045427716,1732.11611898376,1.00883509139991,1827.81570986845
