,0,1,2
0,0.07719938764970935,0.06262977543402755,0.05633305591723387
1,0.07548636333181913,0.064210289991563,0.05967219701951367
2,0.09466245375673435,0.06121140855434415,0.05934717924396814
3,0.08170207275946702,0.06310476397303812,0.05870808078497958
4,0.07588816838982694,0.06643692030557427,0.05591163990855011
5,0.07946791229409342,0.05631516450587003,0.05897128579112859
6,0.07842352385445563,0.0613936315631141,0.06382547936424741
7,0.08613466115040698,0.07621054380239062,0.056651815497043734
8,0.07792041377340721,0.06983183654752358,0.05723580328841261
9,0.07867419934470699,0.06311715675435846,0.0577059990478977
10,0.09765120182282175,0.06140566062952214,0.06315012673191628
11,0.08737905046923473,0.06874229429365607,0.052385129172354175
12,0.07637133861848801,0.05826186225729935,0.06072722014140026
13,0.0785104964859092,0.06048086867167323,0.0718913324640492
14,0.07779771508628486,0.05905667541045719,0.058711655632584264
15,0.0757401472398924,0.06931128009188797,0.054652561943322533
16,0.0780999471225197,0.06415536612507708,0.062025520042552684
17,0.0763585069487179,0.07377131888493425,0.06524326756751288
18,0.08472990449766626,0.06600170618312859,0.05440496732208307
19,0.08130496833884582,0.05987105170078317,0.0657590623666145
