parameter,rhat,gelman,ess_basic
gamma,1.0036662441350384,1.003793223832604,967.940716496758
kappa,1.0022587981175448,1.0021367429771761,2134.1990642081328
beta,1.0050466065547716,1.003817821324122,869.8829033454175
tevent,1.0077129065836634,1.0190697688352235,958.7105109593402
scaling,1.0048066979378043,1.0035084776708523,1055.1255678416032
I0,1.0048572514875203,1.003009970237022,1190.5777964654242
