parameter,rhat,gelman,ess_basic
gamma,1.1117675211101739,1.1117149972911002,251.95757479581732
kappa,1.0067222188334803,1.0077759911626654,1121.183271409139
beta,1.109290347705959,1.10786370899145,258.3276018260575
tevent,1.0357876361296745,1.0379496768279273,462.9632006676185
scaling,1.0762218021637882,1.0857813065914663,308.7336656902105
I0,1.030181937075654,1.030340459113921,587.3586537415433
