$\beta$,$\gamma^{-1}$
0.10123271330708113,19.828077478584813
0.10117227192234386,19.7283352879724
0.1043114138012326,18.485728400431007
0.10060748600680183,19.369378594246168
0.09848658696935986,20.518610635731324
0.10055680125658506,20.203555135008074
0.0976817115445768,20.693035614385703
0.10531118706065952,18.062429548989883
0.10157620888528439,19.5135145167851
0.10465831348799162,17.9755497399424
0.10508467662868816,18.811031627246685
0.10244189915455479,19.055691560124238
0.1040946087657893,19.346442668554165
0.09947403356269888,20.602774571741055
0.10202315784081484,19.156754102948405
0.10842806615058205,17.295101499793255
0.10265330502684474,18.735533818600896
0.0978662404278865,20.817796016838095
0.09490001857724129,22.238953240344124
0.09930404262372791,20.12461978470836
0.10173875874341146,19.54154473693401
0.10359917068146238,19.17009063812895
0.10675513862498624,17.929429308698484
0.10648181062698166,18.419597951764423
0.10496842102499951,18.945929110115323
0.10533723069366961,18.40066630486872
0.10511550215230661,18.607914731338703
0.09993672436893254,20.18372589909154
0.10312709032574076,19.002382045256553
0.10434277355991738,18.35957008373893
0.10005609048046693,19.68580890001553
0.1048173628134893,18.631656031988022
0.10148068797402604,19.16030043148153
0.1028392318911407,18.883530126617
0.10242295809978846,19.2451681126273
0.10278286711888801,19.49982480965612
0.10661615850986994,17.997991548559195
0.10123414990631426,20.152582082078922
0.10096141917516649,19.50788544559414
0.10350517008751937,19.257723641062327
0.10482589003387535,18.59461954233083
0.10097380252520721,19.404671111300292
0.10195358983491802,19.733530159235666
0.1008897702637808,19.058563258543
0.10274623881498199,18.31567469648132
0.10328864870697818,18.53402705675032
0.10440388396632039,18.874200128034083
0.0989721029361454,20.59858812060559
0.10249701882321063,19.595549277922313
0.09678704335346092,20.82772143177375
0.09896881907790385,20.44449879656428
0.10015336492225979,19.19491761699763
0.10276173191765978,18.67984850598832
0.10421308275815529,18.27800536802848
0.09847589180827586,20.536492893251772
0.10187755822082592,19.74878972221182
0.10152849666061431,19.227447099233913
0.10561701094738671,17.88250024412332
0.10123054394698233,19.84385702870729
0.10197774794512388,19.281124300023055
0.10104078196081129,19.876402928311478
0.10430273118070646,18.254748110683412
0.10431508464032282,18.75917080054546
0.09766991683251433,21.248231015248923
0.09810287690797667,21.35501447788006
0.10361992531581485,18.572806362633237
0.1064327266411444,17.617044979781866
0.10238872265506245,19.24202180810953
0.1043114138012326,18.485728400431007
0.10559325854978607,18.600951745524405
0.09927416088663432,19.989586883847835
0.10266921081453864,18.937897855613002
0.10831999192238376,17.800784296787292
0.10965647587556684,17.21544377321748
0.10195358983491802,19.733530159235666
0.09769127262976805,20.587450927186833
0.10835752823016569,17.089815896447
0.09743522235920905,20.70579428584639
0.10052224386815126,19.87126400905402
0.10336528511896645,18.47259665052899
0.102275628966296,19.475068752779837
0.10344251762722559,18.786220379504496
0.10077097777597745,19.607991092558553
0.10695336934497215,17.785824614123996
0.10834100766849211,17.2444961770647
0.10502452406796105,18.21670533604884
0.10329171421457085,18.884948647474776
0.10915556863372237,17.281138575256715
0.10955706588159494,17.380397713127156
0.09861978727131122,21.035310357720743
0.10082515726345846,19.360129263881465
0.10041719682163996,20.211102572448087
0.10415680847035658,18.51442360000966
0.10932834682675571,17.175081286792445
0.10177573906752749,19.52451163644604
0.1050117089470461,18.200087023260238
0.10422766095992493,18.872351328052822
0.09848658696935986,20.518610635731324
0.09828616148951783,21.38874135927317
0.10101045150341242,19.6887732624811
0.1030541093132736,19.22264980395167
0.10468613511881941,18.859128208853804
0.10287739804336793,18.684074591466725
0.1011127387316454,19.469471460348384
0.0993806636534609,20.658920790537966
0.10050947942179463,19.969279060691452
0.10443706149493996,18.668584508917718
0.09915976639578795,20.697842243105985
0.09948708461791578,20.66587111724024
0.10195151456052139,19.46212101746392
0.10499231129774221,18.487084567119126
0.10255486544896818,18.74791642436011
0.10767660269166665,17.657804445948138
0.10079930043680668,19.55490170077929
0.10156502211345277,19.754464462362634
0.10191432591337649,19.783829128553695
0.10123728986089398,19.92091772732113
0.10493687323444283,18.793905075780504
0.10771410949498524,18.114443533236084
0.10539959432095783,18.255049204752595
0.10495018498109444,18.802199854671063
0.10701773872216867,17.818870752947433
0.10157620888528439,19.5135145167851
0.10149818848049938,19.80467988792808
0.103643965064452,19.19788392830129
0.1098420053746724,17.02768833736437
0.10547804088267491,17.863535718247924
0.10479327419231188,18.29094134626663
0.10011677896679572,19.99211954283358
0.10428569493526425,18.63965992045576
0.10789354089163371,17.460571526638777
0.10247054223594955,19.35692731150682
0.10541027399004872,18.086710615135928
0.10101887292420483,19.108477252356572
0.10143768877206596,20.145040536758497
0.10517281755800875,18.152245472215824
0.10116247063324832,19.959727627149906
0.10265330502684474,18.735533818600896
0.09790748021706348,20.672400836366123
0.10207132054071828,19.433963701941824
0.10198262740105267,19.488383676800947
0.10430273118070646,18.254748110683412
0.09942877903344016,20.341117605690062
0.1027695815028313,19.013809389925267
0.10449334368641287,18.348590965628855
0.10033617862825472,19.346840864929046
0.10480353938677107,18.70977054593865
0.09953701439880476,19.778202456571133
0.1063250814338912,17.968195395146843
0.09735132119166141,21.166500081437185
0.10489099410603851,18.045857833139518
0.09930271139309324,20.157950168958852
0.09982479974949626,19.97304308072765
0.10452951377864753,18.48684348452546
0.10319568133742925,19.00144540599602
0.10329750916570007,19.232896156923076
0.09830296287738523,20.390000415397466
0.10264670050596501,19.512217670762006
0.10468715063059633,18.81799258209864
0.10244059461884598,19.143318293936613
0.10022666633489775,19.731854614034926
0.10510015017074816,18.381188437916606
0.1053784772603388,18.38536265997575
0.10542925188580628,18.16558888759298
0.1022404873499084,19.13717729673011
0.10234480578503424,19.14770959511955
0.10219727248106861,18.880152395791168
0.1016531970789294,19.371939787849158
0.10090733639563788,19.249327462721673
0.0984394419619545,19.99927285935867
0.10097380252520721,19.404671111300292
0.10292166857519328,19.037867515287708
0.10144902404671852,19.13666455605014
0.10228189754125339,19.17547551088399
0.10555382748931587,18.088195902807715
0.10273079882059832,18.74111750078813
