parameter,rhat,gelman,ess_basic
gamma,1.0514603904053093,1.0507946284430696,442.7991170010929
kappa,1.0064594189102185,1.0057785927175673,1415.0298547970058
beta,1.0503174574196914,1.0593478230883664,418.1554895071277
tevent,1.0054747716162515,1.0054383048151072,1587.031393222206
scaling,1.0431820805902292,1.0517228613408727,487.5429827680258
I0,1.014530221441144,1.016372004054776,981.3752242249394
