parameter,rhat,gelman,ess_basic
r0,1.0013012424254455,1.0015705365332934,3009.916330512526
e0,1.0026416921337906,1.0023423223526657,3090.6690210390607
s0,1.0019243801256177,1.001947475486031,2966.766595988336
tevent,1.0025113253395126,1.0019193138434443,3003.524847072515
I0,1.0047533490739355,1.0028505133372705,3326.1779182183554
