parameter,rhat,gelman,ess_basic
r0,1.002002465728229,1.0006390703679677,2409.7768147042802
e0,1.001239251835627,1.0004815937903673,2453.8015097883117
s0,1.0048536050070687,1.0038449390675424,2370.521253249586
tevent,1.0030671207102144,1.0024606539594771,2276.176635551033
I0,1.0024383792003253,1.0002762952028605,2382.2175944347787
