parameter,rhat,gelman,ess_basic
gamma,1.0473710443643167,1.0394190034494308,578.2667684404156
kappa,1.0022743520988238,1.0045191074014914,1576.9315185013024
beta,1.0463560167362154,1.0434535976838248,564.6881797846694
tevent,1.0060436799653438,1.0037005734968105,1850.8277982548864
scaling,1.0350515439101562,1.0379302815461624,831.3660356878318
I0,1.0090661568348733,1.0074493345464368,1461.7746804097007
