parameter,rhat_new_1,ess_basic_new_1,rhat_new_2,ess_basic_new_2,rhat_new_3,ess_basic_new_3,rhat_new_4,ess_basic_new_4,rhat_new_5,ess_basic_new_5,rhat_new_6,ess_basic_new_6,rhat_new_7,ess_basic_new_7,rhat_new_8,ess_basic_new_8,rhat_new_9,ess_basic_new_9,rhat_new_10,ess_basic_new_10
r0,1.00364737232235,4104.55661388459,1.00138270791058,2347.34014731293,1.00158681720574,3522.52195423786,1.00381300962572,4016.97801636369,1.00266837656478,3748.53426825773,1.0020574429516,3383.65096881869,1.00248341963853,3142.54348116311,1.0024643700424,3053.96658227177,1.00204633424721,3566.69512724197,1.00130124242545,3009.91633051253
e0,1.00261199854905,4182.75486095098,1.00524418906246,2342.50435220637,1.00076007654453,3357.06852465708,1.00264998652082,4069.3833991497,1.00110531333499,3306.92202436946,1.00179441718974,3254.23611724088,1.00303709907752,3307.92786542631,1.00216244075072,2826.02110391328,1.00155447903437,3242.84948090374,1.00264169213379,3090.66902103906
s0,1.00095097718836,3869.78549721752,1.00121047443732,2624.42945092204,1.00197093843446,3486.59746643386,1.00071906731953,4030.85400435912,1.0031477635174,3285.49960578019,1.00238228786749,3251.32273806028,1.00116525575095,2932.63574759011,1.00318967051263,3278.71985201598,1.00252971525121,3289.5245622868,1.00192438012562,2966.76659598834
tevent,1.00153013038776,3936.4620675977,1.00893837047943,1184.96801625791,1.00208315876244,3563.42732514073,1.00251033500496,3856.01664783237,1.00247388986806,3515.76242449633,1.00168238353422,3147.37701406853,1.00327907895176,3445.81366690157,1.0018071118109,2758.72287714357,1.00185062459047,3309.43563282038,1.00251132533951,3003.52484707252
I0,1.00371245478216,3924.7700539113,1.00481776573516,2554.24015639279,1.00129587566179,3688.1108096018,1.00107728020022,3892.92991681365,1.00107829856543,3800.71211928421,1.00149610324444,3304.31281886282,1.00128360097078,3639.75890101253,1.00258728219207,2658.63540579254,1.00216609225714,3212.14753344637,1.00475334907394,3326.17791821836
r0,,,,,,,,,,,,,,,,,,,,
