parameter,rhat,gelman,ess_basic
gamma,1.153561672730021,1.153965917577291,208.77766898009915
kappa,1.0033492336253806,1.0056063711891512,938.871707055613
beta,1.1433983103101437,1.1581691628184028,211.34708972608388
tevent,1.0080888880438168,1.0186394428009204,906.9897437363502
scaling,1.099169915865204,1.1224312806254344,261.24653396351164
I0,1.0282280635317311,1.0313448345563945,756.9993909326504
