parameter,rhat,gelman,ess_basic,Geweke_chain_1,Geweke_chain_2,Geweke_chain_3,Geweke_chain_4
gamma,1.0455382219004252,1.0565847431372628,314.87691123257326,0.16501736813157228,0.901614342671917,0.8035736679195007,0.3451929770034141
kappa,1.0339611132084228,1.04262686850617,364.9823838960096,0.18210709806111494,0.46950789720095754,0.9693797055216788,0.8417861768556567
beta,1.0453386228644046,1.057322626113294,307.8166996146727,0.11457735718592876,0.9955113866595349,0.839209075758179,0.4627273707607252
tevent,1.0037630042995254,1.0007362837666893,1361.6443962971105,0.18175284027875865,0.4638239670103993,0.28178545900053165,0.5373439333118103
scaling,1.042639072999274,1.0541419881729535,326.66855081901656,0.22100579496698775,0.8208628817417201,0.902759877640103,0.3672562560778646
I0,1.006071652032844,1.0030640651071254,1452.3216945794636,0.8941358422481682,0.07858369630592765,0.9936484877287081,0.3073839885944151
