gamma,kappa,beta,scaling,tevent,I0
6.547970712458621,4.177507996964163,0.24313243013495833,5.2226705795654675,359.066086456972,913.8166250788496
6.031500410471251,4.915386941040605,0.26191866699284333,5.601186901325597,358.7484108691973,932.1078384886922
6.515698796725951,4.756654625727499,0.24532759804831858,5.135166529107689,359.07377354262104,951.6598124224056
5.6740646890507795,5.402397390536282,0.27957380957848366,5.938705392565851,359.10790257357405,973.396810943961
4.918634727550739,6.435317553433678,0.325577715555621,7.029364297559005,359.5444200339871,980.001690709774
5.611894646160779,5.5714630575384945,0.2869247622046285,6.3365487991765574,358.21112153365647,949.6775442236999
6.9361713947185395,3.9817255692178493,0.22883945474754264,4.780651760898665,357.08687677216363,946.6739874456622
5.4445762462983645,5.564000449320561,0.28945377529484795,6.2447267497347285,359.41413846801987,925.3351188555458
7.038922284881594,4.32099287577355,0.22698533133519916,4.761009337069796,359.52344076337374,969.462966408448
5.65826099376882,5.547810943335646,0.28095790350734917,6.049967223788196,358.88382515078143,976.7840922726947
5.578125276047599,5.263103290635302,0.2837770705757305,5.8995716299060375,358.8631892439751,892.1806152946646
6.8014522935270705,4.2012545041747416,0.2333436032956012,5.092191494500841,359.50522620143204,897.8025188635479
6.228335602281249,4.658527676118931,0.25654840189199524,5.459980662930066,357.4798676729373,869.6260224487822
5.448278399351024,5.7441178282547805,0.2934370356308815,6.249453279635808,359.47013895535525,935.1282432966246
6.68273997183425,4.339905546772287,0.23735093650302438,5.096233387026695,359.57932367773685,896.3634089595505
5.545485538202167,5.320708602514537,0.2864632922761505,5.970448472613305,357.46830536796216,882.4400082841878
5.760615498319576,5.390414926359034,0.27744882845349783,5.641542355590146,358.85157091644294,885.5829303690483
5.529576623015253,5.03868614598811,0.28665891175710023,6.038513032834033,359.6589189383027,788.135626410899
6.53587644651309,4.678538802733126,0.24235176803751518,5.486525341175094,358.8703882019041,866.563528972617
5.442995346978969,5.429672980795446,0.2939643402640452,6.07271336597987,359.87756104394185,842.7874063242608
5.760730159453381,5.024810443060872,0.27636814745620586,5.940657869467149,359.85580052178176,844.772065473161
6.020876280463813,5.0736255031101924,0.26160492229152843,5.591754662885221,358.80717713511535,973.7590362012095
5.559093056915291,5.427255317311123,0.28628905756205947,6.238835948157352,359.9412404590398,899.5287350777513
7.3776856822226895,3.621593933100932,0.2137348159839258,4.689951287974425,359.3217041786237,918.2094822947469
6.247473082640896,4.4409904367726645,0.2541278558265786,5.36178726241373,358.5689112883566,813.8902192460378
5.969686216815716,5.2022325402870075,0.26492879462642765,5.619938179341381,358.275132779973,931.154678226693
5.842367734567439,5.1821628529733115,0.2698961325225896,5.907328584777328,359.7046979273929,894.5794264801715
5.45028182992075,5.313718148008292,0.2894528369223705,5.959076817678825,359.6502245282778,848.1461652635816
6.937698140177494,4.182537058897667,0.2299459595327972,4.938656200753475,359.6719356307917,951.7040420709948
5.934683274646323,5.000397499851844,0.2677746933270979,5.7355298443527145,359.875009537637,905.5758588910134
5.302356537039697,5.661649493775851,0.30038764738522683,6.318622716684084,358.94531823469345,784.8908848074972
5.419975962124305,6.0334745839889505,0.29374265872338995,6.3318640462421465,358.83567154323936,957.9465308548569
5.764172720018766,4.966537848176771,0.27392489839404727,6.003172306205143,357.481245878223,834.5007862586832
6.001483669181575,5.1588233688931355,0.26622171160375807,5.537892827748394,359.2531213851998,857.6100436459202
5.8305353254369985,5.202493916618153,0.27474599326466337,5.679914262118291,359.347404119161,891.6686866102717
6.547836160563436,4.479469788689236,0.2413982070565049,5.1209373188310945,359.70039646937647,968.2888814239394
5.996949661369196,5.027059314296986,0.2644449028015646,5.716999867634364,358.6399554059049,843.7599403621493
5.94717846200694,5.091984757979015,0.267765975798341,5.585033416451378,359.4204952594735,899.9951747925195
5.707211261152466,5.326066771198732,0.28021325713533785,5.990902191935981,359.3056326573745,971.3866863686441
5.73152413650413,5.359409260507376,0.2775999912899593,5.970007140288459,358.1104736296616,966.1383855152934
5.707837691912608,5.324202048738905,0.2765981198641606,6.005335461271146,359.55984702300736,976.7253461008422
5.6676538582549565,5.063098113795941,0.2806341107229066,6.030412374693856,357.9215755429157,807.0180724871218
6.1595789504484655,4.859218661436259,0.2593171465774131,5.608242944127258,357.0823254815629,921.7473632112634
5.603791507146461,5.601212964952519,0.2832943486433505,6.000186344451104,358.53053364167386,796.7463755982034
5.2514066447138825,5.934048701139207,0.30117016643115985,6.213327173844365,357.1678606980099,974.741523592588
6.190330866271446,4.849717585536323,0.2546494129099374,5.396247906734613,358.98995174174496,952.2073181894135
6.731493997281888,4.126752995405303,0.23489838803504176,5.112709261930663,358.8140182431421,928.9661498190702
6.554070399364113,4.298086585413769,0.24292478768601944,5.112135303844603,358.75997978003693,842.072656203547
6.12778819727604,5.0309828251641235,0.25974154541102973,5.469722043970895,359.1784037728576,977.8031682953299
6.029361777055694,4.581634716195423,0.2618743868669345,5.535791900524635,359.82107197606047,779.165542798827
6.655998769219893,4.543766175885253,0.24157189434766962,4.8633943523543,358.263065019928,874.7945107103026
7.832236438655891,3.1096431703180274,0.20332853102162227,4.206107135201962,358.171215433963,797.8911297727263
5.436087442612752,5.257903463240012,0.2906368828023097,6.182901627585443,359.71278841717935,784.9525329267825
5.187240522043359,5.865646542702223,0.3046522276374136,6.743873288184119,358.25005303321217,850.6237547766821
