0,1,2,3,4,5
20.36938574173079,3.7485722057783213,0.05957687243678591,4.2377751398076136,358.8594818640179,791.7200128086256
15.407698151051182,2.6726376796614857,0.07639174908745353,5.609479588774734,353.23186930609313,592.2178012212214
19.906483217945397,1.8294432442433186,0.06074463247518876,3.96203643539245,332.5605749585965,608.5144480782051
15.285681102021645,6.500098593567425,0.07661530285774244,5.412379354413228,314.73819256788715,665.9787366693315
15.034090032742075,4.973664409702742,0.0786645871939821,5.478058632624524,359.06358785993496,587.2263843323714
17.06989284485644,6.364158031877601,0.07119297224971048,4.614013614121724,357.3446260111424,832.9345736376205
9.233710563163356,6.130587565268566,0.12509348932029807,9.313162635085765,314.5647784761246,482.2683746740007
11.877126364916954,2.8979776427546384,0.09551420740361885,7.461291545814226,316.1550688126638,429.2410082758776
11.146848967820329,6.087993289200005,0.10504155372191074,7.775856334385189,352.7921732618691,530.0785135133049
14.378864156625596,1.296318118693653,0.08050494836234115,5.8154898862269855,344.11975975146515,371.1655198224107
14.217751406578259,4.10922929760344,0.08290741405637567,5.7790583917701905,294.0168948423917,482.50014884137926
12.45990518759018,7.4034431131540535,0.09339354364734984,6.895572894806443,318.604077325116,595.1689722369135
17.046948372661827,2.9255821173663223,0.06786298725284158,5.036408125430441,308.08345106360935,615.3551346873502
16.755282167665094,3.5205581846934004,0.07037994920281912,4.951404482810399,292.1229398045766,627.6614245062676
17.565939815665455,2.3052666804905297,0.06715741327711496,4.751317033890209,299.58785539867904,628.0912980095183
17.221884439778595,2.577640638490765,0.06850767780874355,4.531061139830426,289.39967230703195,643.9628745513088
23.80333489367732,2.0978273308020365,0.050520477101328315,3.595791242644247,346.4434792200296,819.445273825677
18.1245419633601,3.9796119566999577,0.06508518067013545,4.457375859077767,316.3045512442912,715.5354978372001
9.425153199743987,9.048430856026352,0.12358729432365821,9.150121407293396,338.54913265308863,540.4976198037472
8.949091701733767,15.637998428167938,0.13102203027391923,8.897346547757952,332.36825287852685,833.3230553383332
18.277663569113333,5.752128261151967,0.0661957363135581,4.532480085676838,311.5235992151735,804.6096232122799
12.514705955357499,7.784558307423031,0.09040258442029124,6.72226533084666,322.60055027296045,712.3587912245296
10.661668217700814,5.570197909960496,0.10813214739598401,8.301174233999076,328.18642331535176,423.6282335530574
