gamma,kappa,beta,scaling,tevent,I0
13.24700333717812,5.345439550906553,0.20103040482296963,1.3804263596788378,228.8916119089184,412.6104510516282
11.56339027522641,7.903584755084063,0.2287976888081113,1.6013567564172204,221.73151242224358,582.5937248452263
11.053715347042035,8.296055314300292,0.24014490567446972,1.640752370094862,223.29108702935,549.5761992343924
10.815402952631525,8.116067198842426,0.2425811887846873,1.76841944168196,225.62492354656231,530.9159616629173
10.577294827103534,8.906489432455942,0.2501415331750471,1.741057218700995,224.71664368171866,573.4275801677022
11.079336979663973,9.0286394650971,0.24468237571577825,1.7130873508411328,223.21909259685552,533.1346835139161
9.6997130657762,9.298795381022899,0.2711172801694693,1.9098366107509253,225.03483450638117,425.70598897763114
11.16519364449287,8.033869802358614,0.23719809998203578,1.6538998755643233,225.13061040112862,437.32419333970176
11.963461825962149,7.056425158493765,0.22061496399363625,1.570943483803248,224.44344607466218,410.5289377629658
9.332665729565278,10.552980507919335,0.2841209770684193,1.9871379605814823,222.9653575569381,524.2673887460239
11.722574560923226,7.63009440868275,0.22538255657215744,1.6024091618735272,224.633998443188,541.7828845636709
11.66568879842581,7.347250570424315,0.22699445669386753,1.5842207965533246,225.64422854088875,491.1702540426508
11.788360518648735,7.697011828504148,0.22850343582107752,1.653118240096471,227.53383356560693,502.34040070574065
11.612692690461834,8.089444587412299,0.2300978297938638,1.567555539140764,220.61467276950162,572.9712357069423
10.268977710657351,9.658114263520728,0.26376760226674373,1.7707040812147155,226.2258612819698,486.9581042973544
11.53718852205608,8.893429156607892,0.23478742250043352,1.6169104027254704,220.8707299014775,650.2475028108647
10.01329485728145,8.943623344629653,0.265235842636468,1.8441606379594804,229.2122613181262,423.67942812025
11.264433654535525,8.368887035442649,0.23470963336560952,1.6920126436468927,221.90920905386403,552.9948113487585
11.99567045471686,7.467253769194288,0.22149987570160376,1.5405608332837757,221.10356129678522,473.00745665371477
10.794079672458535,8.754405684491367,0.24368036345187483,1.7758992788394936,224.93826552653215,540.2467504806839
10.744286673047647,8.514106065983057,0.24886194444606816,1.7445022778917756,226.60567780282057,494.8332980238347
8.083073737136894,11.582122758834366,0.32925428926476197,2.291135485531116,227.26000433567827,493.23549580078827
10.86025238669973,8.0624333480893,0.2442410582614806,1.6574627365685266,225.84172183224177,465.30812792795786
9.820863293857695,10.021971266925037,0.271321569088211,1.8998327199041938,224.3151661024521,559.5317275181396
12.178766632282068,6.906743171889559,0.21896105686712014,1.4812721583280648,224.4599444464031,497.08366948697244
10.390406271394474,9.36461464055709,0.25929905640388334,1.8002871067790633,225.81000810889498,499.0284327096943
9.498106423190642,10.157161637856438,0.28243141971609376,1.9593630044044992,225.8411875193315,476.8731584318372
10.724297923720458,8.636178917223921,0.2502971297945778,1.7276103045220035,224.19979529816328,543.761019648918
11.35678817443698,8.818938232678969,0.23833744323284822,1.6687140265095732,222.7136739148287,635.8096229760904
10.72897280287218,8.734567728546773,0.24927662263329128,1.7266364951898896,226.10014854004564,502.58301863259277
11.971106818045891,7.287382968826519,0.22526102641940254,1.5388113024489494,226.24603712893025,480.8218515342038
12.279371698902143,6.284950326036336,0.2146824761479725,1.5402688913909135,226.87029207062145,415.75145242756884
11.036089825744321,8.568233519435772,0.24421342262477824,1.6757414895106784,226.0763868839616,509.01511343802383
11.458995299576209,7.8930623910631095,0.23205630125828647,1.6507100388255296,225.66204705758742,531.4641843819088
