parameter,rhat,gelman,ess_basic,Geweke_chain_1,Geweke_chain_2,Geweke_chain_3,Geweke_chain_4
gamma,1.042545937706414,1.010743344978444,445.3214707634972,0.0004255990127062871,0.5875060568543193,0.06589500480014428,3.995600745619747e-6
kappa,1.0392902539729332,1.0093519105971835,459.8507234714872,0.000447522957212005,0.4226822659963578,0.07339410507288283,4.7539269350620303e-7
beta,1.0425540544557537,1.0125521006542204,440.942954207744,0.00013101688055228643,0.3821010685486721,0.07755545459585543,4.2206952383568597e-7
tevent,1.0023239269509931,1.0017391001229263,1676.141893631034,0.19349021313628006,0.23425836228989144,0.620080538783494,0.16408031714465776
scaling,1.040969381515429,1.0111637836410043,457.8011323493997,0.00043232925406777546,0.4351529327194354,0.06720390234544664,2.16649547507824e-6
I0,1.0016358978254356,1.0004735828210976,1842.0343800143496,0.9465678776198052,0.13856821390323915,0.36855518477606763,0.286849829892478
