,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,1.0,0.014,0.004617928645491376,500.0,1.0,0.022,0.006125534679340873,500.0,1.0
1,2.0,0.012,0.004899357396464692,500.0,1.0,0.024,0.007568338285206464,500.0,1.0
2,3.0,0.012,0.00512200664930041,500.0,1.0,0.04,0.008864782063986283,500.0,1.0
3,4.0,0.016,0.0053510415091251075,500.0,1.0,0.052,0.01000460534048292,500.0,1.0
4,5.0,0.014,0.005498108907295547,500.0,1.0,0.07,0.01106245219958108,500.0,1.0
5,6.0,0.022,0.005570161538842421,500.0,1.0,0.096,0.012047708600581276,500.0,1.0
6,7.0,0.022,0.00570983858927754,500.0,1.0,0.064,0.012951707788363782,500.0,1.0
7,8.0,0.016,0.005651462989824202,500.0,1.0,0.112,0.013725902655487685,500.0,1.0
8,9.0,0.024,0.005697777175858201,500.0,1.0,0.116,0.014452282879331653,500.0,1.0
9,10.0,0.03,0.005594815867207331,500.0,1.0,0.116,0.015094774392252262,500.0,1.0
10,11.0,0.022,0.005709990094377324,500.0,1.0,0.134,0.015712972942641706,500.0,1.0
11,12.0,0.014,0.005604807469625123,500.0,1.0,0.16,0.016263166876405104,500.0,1.0
12,13.0,0.02,0.005661983817127747,500.0,1.0,0.168,0.016795175386050264,500.0,1.0
13,14.0,0.014,0.005563089548173611,500.0,1.0,0.164,0.01727076091145356,500.0,1.0
14,15.0,0.02,0.005469867504859901,500.0,1.0,0.202,0.0176920671157209,500.0,1.0
15,16.0,0.014,0.005302789498893331,500.0,1.0,0.22,0.018057601686344252,500.0,1.0
16,17.0,0.018,0.005104699681749096,500.0,1.0,0.236,0.018377002822499267,500.0,1.0
17,18.0,0.01,0.0047990792821504084,500.0,1.0,0.206,0.018643058088314665,500.0,1.0
18,19.0,0.014,0.004593221919723747,500.0,1.0,0.222,0.018870779140099596,500.0,1.0
19,20.0,0.02,0.004331519053736306,500.0,1.0,0.238,0.019060994394455785,500.0,1.0
20,21.0,0.012,0.004129698192439832,500.0,1.0,0.256,0.019231433472806005,500.0,1.0
21,22.0,0.006,0.0039052907423267106,500.0,1.0,0.252,0.019379004506716292,500.0,1.0
22,23.0,0.006,0.003803384458902681,500.0,1.0,0.272,0.019513184796578063,500.0,1.0
23,24.0,0.002,0.0035107418742456203,500.0,1.0,0.25,0.019625621908612965,500.0,1.0
24,25.0,0.0,0.0033235851889747863,500.0,1.0,0.238,0.019721489156685194,500.0,1.0
25,26.0,0.002,0.0030816435307589617,500.0,1.0,0.252,0.019803579899230848,500.0,1.0
26,27.0,0.002,0.0030122225523194907,500.0,1.0,0.25,0.019883290502951404,500.0,1.0
27,28.0,0.006,0.002777249500020171,500.0,1.0,0.27,0.019945812288338752,500.0,1.0
28,29.0,0.002,0.0026437026908581484,500.0,1.0,0.316,0.02000555856082564,500.0,1.0
29,30.0,0.004,0.00249125211159103,500.0,1.0,0.298,0.02005439141404905,500.0,1.0
