,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,1.0,0.008,0.005507196072792284,500.0,1.0,0.016,0.0057958236295309684,500.0,1.0
1,2.0,0.03,0.006671483153152707,500.0,1.0,0.026,0.007255603584537514,500.0,1.0
2,3.0,0.044,0.00816298300057483,500.0,1.0,0.024,0.009048181929181687,500.0,1.0
3,4.0,0.054,0.009901300994317385,500.0,1.0,0.074,0.011067105175736487,500.0,1.0
4,5.0,0.096,0.011882559111546068,500.0,1.0,0.092,0.013372856623879667,500.0,1.0
5,6.0,0.126,0.014053704576886438,500.0,1.0,0.15,0.01582932436258066,500.0,1.0
6,7.0,0.17,0.01621397013224914,500.0,1.0,0.214,0.018203328475565043,500.0,1.0
7,8.0,0.212,0.0181981742099934,500.0,1.0,0.306,0.02027289217252319,500.0,1.0
8,9.0,0.25,0.019831786414479267,500.0,1.0,0.378,0.021727192279320674,500.0,1.0
9,10.0,0.332,0.020971828483096217,500.0,1.0,0.482,0.022343209362913626,500.0,1.0
10,11.0,0.388,0.021666411944392887,500.0,1.0,0.608,0.022081850866628568,500.0,1.0
11,12.0,0.408,0.021989896237025637,500.0,1.0,0.628,0.0210837544114547,500.0,1.0
12,13.0,0.448,0.0221081047743037,500.0,1.0,0.732,0.019604767746906015,500.0,1.0
13,14.0,0.444,0.022097738522082768,500.0,1.0,0.822,0.017955224965549625,500.0,1.0
14,15.0,0.442,0.021989544949882266,500.0,1.0,0.818,0.0162775298299758,500.0,1.0
15,16.0,0.388,0.02177885171387354,500.0,1.0,0.884,0.01471395246516315,500.0,1.0
16,17.0,0.382,0.021445322003821148,500.0,1.0,0.912,0.013348450921825647,500.0,1.0
17,18.0,0.332,0.021004151195262742,500.0,1.0,0.91,0.012165989383637764,500.0,1.0
18,19.0,0.29,0.020450731857244518,500.0,1.0,0.92,0.011201033461910197,500.0,1.0
19,20.0,0.272,0.019825758794693026,500.0,1.0,0.95,0.010352698925301326,500.0,1.0
20,21.0,0.254,0.01911146567106058,500.0,1.0,0.942,0.009656342869982983,500.0,1.0
21,22.0,0.176,0.018340298789473908,500.0,1.0,0.956,0.009064726446034286,500.0,1.0
22,23.0,0.21,0.017551620158380875,500.0,1.0,0.966,0.008538999864226208,500.0,1.0
23,24.0,0.188,0.0167273519402046,500.0,1.0,0.982,0.008117856984018483,500.0,1.0
24,25.0,0.146,0.015938560015393666,500.0,1.0,0.976,0.007759110890416976,500.0,1.0
25,26.0,0.138,0.015141294491328092,500.0,1.0,0.964,0.007450164605588977,500.0,1.0
26,27.0,0.096,0.014349288239483579,500.0,1.0,0.984,0.0071769659497103785,500.0,1.0
27,28.0,0.12,0.01360064470495354,500.0,1.0,0.982,0.006943316907329975,500.0,1.0
28,29.0,0.068,0.012882004554826264,500.0,1.0,0.984,0.0067497412059980095,500.0,1.0
29,30.0,0.088,0.012172952372911293,500.0,1.0,0.976,0.006579601731750595,500.0,1.0
