,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,1.0,0.006,0.005187579567140081,500.0,1.0,0.012,0.005414698689462208,500.0,1.0
1,2.0,0.018,0.006005788446326809,500.0,1.0,0.026,0.006474750192169089,500.0,1.0
2,3.0,0.02,0.007006628871621938,500.0,1.0,0.028,0.007703577427952848,500.0,1.0
3,4.0,0.026,0.00814441686852078,500.0,1.0,0.036,0.009091954967562963,500.0,1.0
4,5.0,0.04,0.009345989643867382,500.0,1.0,0.078,0.010555613730606296,500.0,1.0
5,6.0,0.062,0.010728546495957761,500.0,1.0,0.094,0.012199971663310567,500.0,1.0
6,7.0,0.094,0.012155217305645522,500.0,1.0,0.13,0.01390067547159796,500.0,1.0
7,8.0,0.094,0.013680375496623978,500.0,1.0,0.124,0.015664563612269658,500.0,1.0
8,9.0,0.162,0.015193159394070479,500.0,1.0,0.166,0.017392411122682607,500.0,1.0
9,10.0,0.164,0.01670056331503246,500.0,1.0,0.242,0.019038199492504952,500.0,1.0
10,11.0,0.226,0.018050019142038222,500.0,1.0,0.284,0.020429485485168045,500.0,1.0
11,12.0,0.252,0.019229170815013602,500.0,1.0,0.34,0.021497265396236757,500.0,1.0
12,13.0,0.284,0.020172602129933617,500.0,1.0,0.406,0.022156938646623693,500.0,1.0
13,14.0,0.308,0.02084802507072384,500.0,1.0,0.504,0.022360372191954418,500.0,1.0
14,15.0,0.366,0.021321222693808015,500.0,1.0,0.588,0.022131964780706483,500.0,1.0
15,16.0,0.362,0.021592529520027312,500.0,1.0,0.65,0.021538787416115545,500.0,1.0
16,17.0,0.394,0.021729448290367707,500.0,1.0,0.668,0.020669163277528425,500.0,1.0
17,18.0,0.418,0.02174943259030921,500.0,1.0,0.728,0.019652328680862495,500.0,1.0
18,19.0,0.358,0.021699470307248055,500.0,1.0,0.748,0.018555555153172084,500.0,1.0
19,20.0,0.388,0.02157609751925577,500.0,1.0,0.756,0.017449849678805345,500.0,1.0
20,21.0,0.368,0.021380124249231188,500.0,1.0,0.876,0.016380820816433488,500.0,1.0
21,22.0,0.336,0.02110194156868206,500.0,1.0,0.866,0.015411025600733212,500.0,1.0
22,23.0,0.296,0.020758914873511107,500.0,1.0,0.87,0.014501783283233058,500.0,1.0
23,24.0,0.274,0.020367461578719645,500.0,1.0,0.89,0.013697854936182682,500.0,1.0
24,25.0,0.312,0.01993053904348968,500.0,1.0,0.904,0.012959157922844106,500.0,1.0
25,26.0,0.262,0.019424833538910523,500.0,1.0,0.902,0.012304590798388864,500.0,1.0
26,27.0,0.266,0.01888761854056341,500.0,1.0,0.918,0.011727488647361672,500.0,1.0
27,28.0,0.254,0.01831108889450054,500.0,1.0,0.94,0.011196823699644726,500.0,1.0
28,29.0,0.208,0.017717506133954345,500.0,1.0,0.948,0.010718095723899044,500.0,1.0
29,30.0,0.184,0.017094018425341254,500.0,1.0,0.944,0.010287717333198557,500.0,1.0
