,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
0,1.0,0.014,0.0047589723547361,500.0,1.0,0.008,0.0049063443992012545,500.0,1.0
1,2.0,0.008,0.0051662790801504715,500.0,1.0,0.024,0.0054419058456028424,500.0,1.0
2,3.0,0.008,0.005554077693720432,500.0,1.0,0.014,0.005973950764330028,500.0,1.0
3,4.0,0.016,0.005914614422084358,500.0,1.0,0.026,0.006504227856079576,500.0,1.0
4,5.0,0.02,0.006329112513412065,500.0,1.0,0.018,0.007076618908795807,500.0,1.0
5,6.0,0.022,0.006776261003249373,500.0,1.0,0.036,0.007671426919736874,500.0,1.0
6,7.0,0.032,0.007248707963471471,500.0,1.0,0.044,0.008278560979067876,500.0,1.0
7,8.0,0.03,0.007787181722918261,500.0,1.0,0.044,0.008948897416485345,500.0,1.0
8,9.0,0.04,0.008357038693977073,500.0,1.0,0.032,0.009655782647977416,500.0,1.0
9,10.0,0.048,0.00896024888904948,500.0,1.0,0.06,0.010395778476498549,500.0,1.0
10,11.0,0.04,0.009566264329994389,500.0,1.0,0.068,0.011143341580283737,500.0,1.0
11,12.0,0.042,0.010185617236645926,500.0,1.0,0.09,0.011912940697660747,500.0,1.0
12,13.0,0.068,0.010844255420186551,500.0,1.0,0.096,0.012715090180830843,500.0,1.0
13,14.0,0.064,0.011498496846857383,500.0,1.0,0.13,0.013532873904054553,500.0,1.0
14,15.0,0.092,0.012188179683654885,500.0,1.0,0.108,0.014350883974520489,500.0,1.0
15,16.0,0.08,0.012865028058032794,500.0,1.0,0.114,0.015167044344856818,500.0,1.0
16,17.0,0.104,0.013558777524582353,500.0,1.0,0.154,0.01599460624838068,500.0,1.0
17,18.0,0.118,0.014266791567238833,500.0,1.0,0.178,0.01682671951810998,500.0,1.0
18,19.0,0.108,0.014964308572603132,500.0,1.0,0.198,0.01762254405891817,500.0,1.0
19,20.0,0.166,0.015670318755565238,500.0,1.0,0.234,0.018406002285838607,500.0,1.0
20,21.0,0.166,0.016330504054400414,500.0,1.0,0.234,0.019147881518302812,500.0,1.0
21,22.0,0.198,0.01696743273990732,500.0,1.0,0.292,0.019835281987915097,500.0,1.0
22,23.0,0.212,0.017552483291834432,500.0,1.0,0.318,0.0204401413875272,500.0,1.0
23,24.0,0.244,0.018105969388972774,500.0,1.0,0.362,0.02098817609257985,500.0,1.0
24,25.0,0.214,0.01860903512275933,500.0,1.0,0.364,0.021442529035152747,500.0,1.0
25,26.0,0.234,0.019071818733852927,500.0,1.0,0.384,0.021814109139500687,500.0,1.0
26,27.0,0.216,0.019489001009977112,500.0,1.0,0.426,0.02209346375341869,500.0,1.0
27,28.0,0.264,0.01983911643310947,500.0,1.0,0.412,0.022270242844628686,500.0,1.0
28,29.0,0.294,0.020127254848530746,500.0,1.0,0.524,0.0223530829953177,500.0,1.0
29,30.0,0.302,0.02036352948415557,500.0,1.0,0.51,0.02234640068375033,500.0,1.0
