,0,1,2
0,0.47407774047236456,0.28439284774071794,0.26065121698795474
1,0.44345219632997973,0.2846294722818701,0.25311930938991123
2,0.46904986160831447,0.2869582245458664,0.2582010909734037
3,0.44181748492175965,0.2965417307612481,0.25083375464898194
4,0.46082062291214804,0.29072956932479893,0.25974867044207817
5,0.46697164325226115,0.29406726800676297,0.257348926175051
6,0.4624006897615656,0.2889153247912139,0.2579111027676952
7,0.45401872157967754,0.2866829650925782,0.254792235299416
8,0.43158927492772764,0.29261900083574194,0.26284897806649354
9,0.45860151886679856,0.2891789976376892,0.2533331024023844
10,0.45791992303788703,0.2898067258779585,0.255790786380161
11,0.4678459658848848,0.28619162216016314,0.2741129373821333
12,0.46692087002174226,0.2842741501374256,0.26242256072980585
13,0.46086926786919097,0.29288826391537515,0.25634694968695215
14,0.44491458420859586,0.29919379196401746,0.264278534535457
15,0.4498215536576276,0.2886283576245279,0.25522512691550137
16,0.4737216877174094,0.28916868097384335,0.25696745340014693
17,0.45095990260718655,0.2910019238987764,0.25370174736381307
18,0.44650079946248167,0.296000415549476,0.2585768990921478
19,0.4539155621693076,0.2945393456344243,0.25521939692121587
