parameter,rhat,gelman,ess_basic
gamma,1.0901569188656992,1.092634684792434,414.64715826730577
kappa,1.0750650349775228,1.0803029358861471,498.978413504219
beta,1.0900656392263055,1.0988497513249145,401.3492394803342
tevent,1.0220663317629226,1.0221492958521923,1089.810611005894
scaling,1.080762997131169,1.0888674377244842,446.846874351552
I0,1.0145892505242136,1.013720571631644,1341.0754676758104
