parameter,rhat_new_1,ess_basic_new_1,rhat_new_2,ess_basic_new_2,rhat_new_3,ess_basic_new_3,rhat_new_4,ess_basic_new_4,rhat_new_5,ess_basic_new_5,rhat_new_6,ess_basic_new_6,rhat_new_7,ess_basic_new_7,rhat_new_8,ess_basic_new_8,rhat_new_9,ess_basic_new_9,rhat_new_10,ess_basic_new_10
beta,1.00115166943141,4638.79626678693,1.00121092059098,6859.94665456261,1.00089013642479,6664.30047107902,1.00098894056974,4501.06459791892,1.00187493655234,5138.91352823302,1.00101238591398,7213.78867615383,1.00190895877134,4681.28386137827,1.00133460993768,5990.16433812416,1.00113552414547,7317.48887362453,1.00067411636248,7211.28339519518
gamma,1.00123341169624,4692.86282873159,1.00103439917184,7073.34221453851,1.0011595724476,6641.32224436176,1.00097562817798,4524.09724969936,1.00184815826248,5237.47590053815,1.00094263397308,7186.85536508458,1.00190237259175,4649.19500963766,1.00109128021368,6084.95634927928,1.00104000565697,7269.65657523501,1.00070795663801,7208.73715105298
