parameter,rhat,gelman,ess_basic,Geweke_chain_1,Geweke_chain_2,Geweke_chain_3,Geweke_chain_4
gamma,1.0250400600543388,1.0198709659436298,436.1603285261436,0.7235980335710688,0.0007362941361311213,0.09929791196547233,0.8112093364058136
kappa,1.0139286192677581,1.0095316248762403,539.7598171869731,0.2670633784366343,7.594155199208976e-5,0.26763352963281495,0.8228033091004039
beta,1.024205480385328,1.0234776189551607,401.8238094339567,0.45298766686536046,0.00013480586365535545,0.08631518049316894,0.7909761067287884
tevent,1.0035580336215781,1.00080530050665,1493.387726842618,0.7124745046963843,0.5583316547389272,0.0688327744469962,0.010980129049553677
scaling,1.0218881583550234,1.0230011019495238,428.56247691535225,0.6179631477965746,0.00023694495650305008,0.045298873986673406,0.8362658076558258
I0,1.001831351511507,1.002456918991335,1768.6136191278993,0.37215351360483084,0.03149460317316091,0.6569976266333112,0.302209895373972
