parameter,rhat,gelman,ess_basic
gamma,1.0039890984351696,1.0039589781244451,2545.3724510790303
kappa,1.0030584735879806,1.001524297033152,2363.7935896727254
beta,1.002610589495354,1.001794149209272,2274.464177308179
tevent,1.0019432285362828,1.0010168148749699,2702.067590081047
scaling,1.0029464024282422,1.002832952862916,2709.190569209235
I0,1.0036721160149416,1.0025330606958613,2675.525751138755
