parameter,rhat,gelman,ess_basic
gamma,1.0100738892066399,1.0075189142614558,2092.1976939008496
kappa,1.008899474385831,1.0080285836861789,2129.0174982413696
beta,1.0089525508325305,1.007934891830591,2070.702907629265
tevent,1.0050327128339904,1.0063514539086396,2892.330218027885
scaling,1.010567284738892,1.0092784417929428,1952.3711536698347
I0,1.0057104250259543,1.0062284146127574,2572.231631019937
