,timepoint,infection_count,Std,N,Missing
0,5.0,0.036,0.00725253000232023,500.0,1.0
1,10.0,0.064,0.01105563587968521,500.0,1.0
2,15.0,0.13,0.01511034893617756,500.0,1.0
3,20.0,0.182,0.018173535998668847,500.0,1.0
4,25.0,0.258,0.01971772919716238,500.0,1.0
5,30.0,0.274,0.02035941119399687,500.0,1.0
6,35.0,0.288,0.020629206724458747,500.0,1.0
7,40.0,0.304,0.020709946366604975,500.0,1.0
8,45.0,0.322,0.020750145607914477,500.0,1.0
9,50.0,0.314,0.02074917066459059,500.0,1.0
