,timepoint,infection_count,Std,N,Missing
0,5.0,0.026,0.006515673369411988,500.0,1.0
1,10.0,0.07,0.009725685623041179,500.0,1.0
2,15.0,0.11,0.013689306477481013,500.0,1.0
3,20.0,0.208,0.01740060113219643,500.0,1.0
4,25.0,0.284,0.019896718170171933,500.0,1.0
5,30.0,0.352,0.02116951307519954,500.0,1.0
6,35.0,0.38,0.021662451068818776,500.0,1.0
7,40.0,0.354,0.021840891034658368,500.0,1.0
8,45.0,0.376,0.021924174584177943,500.0,1.0
9,50.0,0.438,0.021976588496200766,500.0,1.0
