,timepoint,infection_count,Std,N,Missing
0,5.0,0.026,0.00580439323567354,500.0,1.0
1,10.0,0.03,0.007650792066762823,500.0,1.0
2,15.0,0.064,0.009889836990091891,500.0,1.0
3,20.0,0.084,0.012160659424239198,500.0,1.0
4,25.0,0.148,0.014594335373313666,500.0,1.0
5,30.0,0.172,0.016836473883555584,500.0,1.0
6,35.0,0.232,0.0185319816618357,500.0,1.0
7,40.0,0.276,0.019726154106064157,500.0,1.0
8,45.0,0.316,0.02051183818581347,500.0,1.0
9,50.0,0.324,0.020874842156257036,500.0,1.0
