,timepoint,infection_count,Std,N,Missing
0,5.0,0.006,0.005413413347526953,500.0,1.0
1,10.0,0.034,0.0066801627167615745,500.0,1.0
2,15.0,0.038,0.007977220197968975,500.0,1.0
3,20.0,0.038,0.009387238942604181,500.0,1.0
4,25.0,0.054,0.010625743070929516,500.0,1.0
5,30.0,0.068,0.011917658018004052,500.0,1.0
6,35.0,0.084,0.013004566287736259,500.0,1.0
7,40.0,0.088,0.013621507120387852,500.0,1.0
8,45.0,0.11,0.014370252076502084,500.0,1.0
9,50.0,0.128,0.014943922249503094,500.0,1.0
