,timepoint,infection_count,Std,N,Missing
0,5.0,0.044,0.007586038043404534,500.0,1.0
1,10.0,0.094,0.012095979018890654,500.0,1.0
2,15.0,0.192,0.01726077875173539,500.0,1.0
3,20.0,0.286,0.02056843655473433,500.0,1.0
4,25.0,0.42,0.02177575447388338,500.0,1.0
5,30.0,0.43,0.022080768220049493,500.0,1.0
6,35.0,0.43,0.02217536233540526,500.0,1.0
7,40.0,0.424,0.022214950023965733,500.0,1.0
8,45.0,0.446,0.022207905400412314,500.0,1.0
9,50.0,0.434,0.022209085532870352,500.0,1.0
