,timepoint,infection_count,Std,N,Missing
0,5.0,0.024,0.0066493449822785985,500.0,1.0
1,10.0,0.054,0.009707432909612736,500.0,1.0
2,15.0,0.084,0.012797990736872334,500.0,1.0
3,20.0,0.144,0.015280479471085445,500.0,1.0
4,25.0,0.17,0.016605930914725876,500.0,1.0
5,30.0,0.208,0.017240879032154387,500.0,1.0
6,35.0,0.19,0.017515990025914745,500.0,1.0
7,40.0,0.192,0.01761784710485418,500.0,1.0
8,45.0,0.184,0.017620988512514865,500.0,1.0
9,50.0,0.2,0.017589557410042596,500.0,1.0
