,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,7.0,0.0,0.002542185700463486,500.0,1.0,0.0,0.0011874114546536387,500.0,1.0
1,14.0,0.006,0.0026267001424751762,500.0,1.0,0.002,0.0015819918046682865,500.0,1.0
2,21.0,0.006,0.002629250814428303,500.0,1.0,0.006,0.001942656207510869,500.0,1.0
3,28.0,0.002,0.002669227975832457,500.0,1.0,0.0,0.0022765552585873555,500.0,1.0
4,35.0,0.004,0.002747621968335871,500.0,1.0,0.006,0.0025467403154331245,500.0,1.0
5,42.0,0.0,0.0028083160957887167,500.0,1.0,0.006,0.002826069291593937,500.0,1.0
6,49.0,0.006,0.0029103960640602658,500.0,1.0,0.004,0.0030527337454911,500.0,1.0
7,56.0,0.006,0.0030180969173052652,500.0,1.0,0.002,0.0033095865291641402,500.0,1.0
8,63.0,0.01,0.0030525622475638895,500.0,1.0,0.002,0.0035764271656528682,500.0,1.0
9,70.0,0.002,0.0031401552112257517,500.0,1.0,0.004,0.0038137154841652683,500.0,1.0
10,77.0,0.004,0.003123390808758597,500.0,1.0,0.01,0.0040862406355064345,500.0,1.0
11,84.0,0.006,0.0032353332636241103,500.0,1.0,0.006,0.004326247841285479,500.0,1.0
12,91.0,0.002,0.003255834308510653,500.0,1.0,0.006,0.004564078703323644,500.0,1.0
13,98.0,0.004,0.0034127621913703924,500.0,1.0,0.014,0.004782281203057292,500.0,1.0
14,105.0,0.0,0.0033654755398814357,500.0,1.0,0.01,0.005018365930415717,500.0,1.0
15,112.0,0.012,0.003484896937516525,500.0,1.0,0.012,0.005212434896907977,500.0,1.0
16,119.0,0.004,0.0035787966555127946,500.0,1.0,0.012,0.0054206383688874425,500.0,1.0
17,126.0,0.004,0.0036753975353701735,500.0,1.0,0.012,0.005641394067703081,500.0,1.0
18,133.0,0.002,0.003833739609645226,500.0,1.0,0.026,0.005860610119993616,500.0,1.0
19,140.0,0.008,0.003929148589811097,500.0,1.0,0.01,0.006090596140726159,500.0,1.0
20,147.0,0.006,0.0039624206598229605,500.0,1.0,0.018,0.006340209512361126,500.0,1.0
21,154.0,0.008,0.004225894846705706,500.0,1.0,0.03,0.00657565993668481,500.0,1.0
22,161.0,0.012,0.004269253758454112,500.0,1.0,0.032,0.00682700026613318,500.0,1.0
23,168.0,0.006,0.004333520177806482,500.0,1.0,0.036,0.0070701309983325,500.0,1.0
24,175.0,0.008,0.0045403822567696905,500.0,1.0,0.026,0.007282946638492372,500.0,1.0
25,182.0,0.008,0.0046052904072374,500.0,1.0,0.044,0.007550355285898453,500.0,1.0
26,189.0,0.01,0.004725986147008732,500.0,1.0,0.038,0.007800468226454387,500.0,1.0
27,196.0,0.014,0.0047937224959865524,500.0,1.0,0.05,0.008050927430979314,500.0,1.0
28,203.0,0.01,0.004912158743177791,500.0,1.0,0.04,0.008305939446228816,500.0,1.0
29,210.0,0.014,0.005043761476398248,500.0,1.0,0.026,0.008561504412883893,500.0,1.0
30,217.0,0.02,0.0050742394505512226,500.0,1.0,0.046,0.008823279648481676,500.0,1.0
31,224.0,0.004,0.005194176073755181,500.0,1.0,0.03,0.009074004416931502,500.0,1.0
32,231.0,0.002,0.005309875010505837,500.0,1.0,0.038,0.009325197942520895,500.0,1.0
33,238.0,0.014,0.0053993619386252115,500.0,1.0,0.044,0.009601379184739845,500.0,1.0
