,timepoint,infection_count,std_1,N_1,Missing_1,Seroprev,std_2,N_2,Missing_2
0,7.0,0.014,0.0046128424657136515,500.0,1.0,0.0,0.0022058241000346675,500.0,1.0
1,14.0,0.034,0.006691886802538428,500.0,1.0,0.006,0.003930173202281702,500.0,1.0
2,21.0,0.054,0.009918817136914358,500.0,1.0,0.014,0.006284411111410638,500.0,1.0
3,28.0,0.106,0.013870373384412814,500.0,1.0,0.044,0.009398690254694163,500.0,1.0
4,35.0,0.184,0.01819792215593114,500.0,1.0,0.106,0.013341076066665071,500.0,1.0
5,42.0,0.34,0.021329623634842514,500.0,1.0,0.194,0.017577256685151352,500.0,1.0
6,49.0,0.494,0.02231310530347048,500.0,1.0,0.296,0.021006643690873832,500.0,1.0
7,56.0,0.472,0.022349235358032574,500.0,1.0,0.538,0.022357611609772166,500.0,1.0
8,63.0,0.402,0.021960845735341218,500.0,1.0,0.624,0.02141828329632644,500.0,1.0
9,70.0,0.306,0.020224149434663944,500.0,1.0,0.756,0.019036331684309193,500.0,1.0
10,77.0,0.19,0.0173024037281724,500.0,1.0,0.864,0.016346256886373197,500.0,1.0
11,84.0,0.114,0.014026877331325868,500.0,1.0,0.884,0.014008079501534038,500.0,1.0
12,91.0,0.046,0.010941141136531626,500.0,1.0,0.928,0.012232955275422888,500.0,1.0
13,98.0,0.028,0.008305617601216756,500.0,1.0,0.936,0.011014298888150332,500.0,1.0
14,105.0,0.01,0.006168863790667204,500.0,1.0,0.958,0.010247711328674749,500.0,1.0
15,112.0,0.006,0.0045303140121827415,500.0,1.0,0.96,0.009809827176779872,500.0,1.0
16,119.0,0.0,0.0034093192980737073,500.0,1.0,0.95,0.009570558657042342,500.0,1.0
17,126.0,0.002,0.0024720835257223046,500.0,1.0,0.962,0.009425852652959664,500.0,1.0
18,133.0,0.002,0.0019126038179435236,500.0,1.0,0.938,0.009358522341448674,500.0,1.0
19,140.0,0.0,0.0021236604477922424,500.0,1.0,0.952,0.00935496136724713,500.0,1.0
20,147.0,0.0,0.002504811696451696,500.0,1.0,0.96,0.009311948733192221,500.0,1.0
21,154.0,0.01,0.0036136071733124035,500.0,1.0,0.948,0.009277303533730442,500.0,1.0
22,161.0,0.012,0.00562899866869185,500.0,1.0,0.936,0.009252335920120562,500.0,1.0
23,168.0,0.044,0.008810957093917852,500.0,1.0,0.946,0.009211951125467297,500.0,1.0
24,175.0,0.098,0.013412157627777617,500.0,1.0,0.962,0.0091397983565724,500.0,1.0
25,182.0,0.226,0.018583519065511585,500.0,1.0,0.948,0.008950114186173,500.0,1.0
26,189.0,0.406,0.022127994857854005,500.0,1.0,0.968,0.00858891310982595,500.0,1.0
27,196.0,0.61,0.02151950376591038,500.0,1.0,0.97,0.007900748970626606,500.0,1.0
28,203.0,0.724,0.020404397273290808,500.0,1.0,0.978,0.006952254866239832,500.0,1.0
29,210.0,0.652,0.021822749744843866,500.0,1.0,0.978,0.005882787656371172,500.0,1.0
30,217.0,0.44,0.022226730060238672,500.0,1.0,0.986,0.004740422353771087,500.0,1.0
31,224.0,0.272,0.020402073991018836,500.0,1.0,0.996,0.0038314618026271253,500.0,1.0
