,timepoint,infection_count,Std,N,Missing,Seroprev,Std,N,Missing
5,42,-1,0.00480144252870843,500,0,0.01,0.00373636620747471,500,1
16,119,0.036,0.00763021198789495,500,1,-1,0.00848276385258194,500,0
21,154,0.05,0.00967492052467033,500,1,0.052,0.0109638548266041,500,1
27,196,-1,0.0119670472255108,500,0,0.088,0.0142550374298498,500,1
30,217,0.09,0.0129253372624072,500,1,-1,0.015912023470689,500,0
32,231,0.094,0.0134204174151307,500,1,0.166,0.0169620057248841,500,1
36,259,-1,0.0143695279937205,500,0,0.198,0.018786984007762,500,1
37,266,0.094,0.0144861768712145,500,1,-1,0.0192090299188692,500,0
43,308,0.134,0.0159225373156041,500,1,-1,0.0210993429659883,500,0
46,329,0.166,0.0169537402083788,500,1,-1,0.021728343762506,500,0
49,350,0.216,0.0182443919483131,500,1,0.442,0.0221540499892812,500,1
52,371,0.264,0.0194656742984345,500,1,-1,0.0223526754784693,500,0
54,385,-1,0.0200265170471127,500,0,0.528,0.0223313989991978,500,1
