parameter,rhat,gelman,ess_basic
gamma,1.0995360587464065,1.1217491214663067,292.05866943980766
kappa,1.0190001124821986,1.030474382644717,771.5155882961883
beta,1.0996050596988989,1.1349428735441698,287.8756864964587
tevent,1.0178406746422544,1.0202021726584174,914.610444894475
scaling,1.0846207477141456,1.1211155468563183,304.26349054240245
I0,1.0066765349876852,1.0052955038038063,1157.575178489392
